Gene	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
DUSP1	3.48064593192704	3.44585963471474	3.51543222913935	9.72012516589506	67.4542945821188	0	0	884.166549493308
FOS	4.21909761659781	4.11596966533488	4.32222556786075	9.41075580246914	61.8290202457405	0	0	809.463895204986
EGR1	3.27028629886803	3.17167768367513	3.36889491406094	10.0951087641461	55.3199837367671	6.63691227765338e-318	4.74658086015142e-314	718.129199831789
NR4A1	3.09044535236603	3.00515062602879	3.17574007870326	8.39311430684156	50.743087414972	1.41526374203875e-288	7.59125272676092e-285	650.729521950867
CYR61	2.78696553583653	2.74585669421518	2.82807437745787	8.70711847093621	47.2946973210551	9.46513495473139e-266	4.06155994250278e-262	598.264718925936
JUN	1.70705980366914	1.63666132649572	1.77745828084256	9.89262645961934	41.9103516046379	5.77793534691151e-229	2.06612926172594e-225	513.696259646708
SPRY1	1.38742749056904	1.3289335276278	1.44592145351029	8.17443020533265	39.7272905947167	1.04852178357428e-213	3.21377507737192e-210	478.612955195393
SGK1	1.35548060185161	1.29387825873347	1.41708294496976	8.26020898748285	36.5056112980587	6.52953037589734e-191	1.75116883864681e-187	426.201293432062
SERPINE1	2.00840530949908	1.93080534338231	2.08600527561585	8.37268571030521	35.8722162644169	2.11694312650173e-186	5.04664483818059e-183	415.829200782475
RASD1	1.83953551611781	1.78626464448067	1.89280638775495	6.1073959850823	35.7923667977236	7.85036072479926e-186	1.68432414363534e-182	414.520438321415
PER1	1.62122135288042	1.56952845056069	1.67291425520015	8.36101475908779	35.6863987581361	4.47109548245779e-185	8.7208199534911e-182	412.783199780187
FLRT2	1.38929483624808	1.33959845873978	1.43899121375639	7.2928497337963	35.30371047302	2.40088329381442e-182	4.29265380235736e-179	406.505984095475
NSD1	-0.718712880658646	-0.803486299222774	-0.633939462094519	7.7839212611454	-33.7755830510562	1.99298549099148e-171	3.28924971443342e-168	381.398752687028
GADD45B	1.24258423611085	1.16581404567706	1.31935442654465	9.45628205032579	32.9848021524564	9.04885698157696e-166	1.38676141505432e-162	368.391052107475
TSC22D3	1.19753449331247	1.16486473762912	1.23020424899583	10.0994600947359	32.6969636860808	1.03759514639031e-163	1.48413269797334e-160	363.655695305362
PTN	1.71313387002725	1.66372376104033	1.76254397901417	7.21454792352538	32.5447007303827	1.27472637786171e-162	1.70935808718538e-159	361.15081808492
SOCS3	2.01539890346344	1.97233632445355	2.05846148247334	7.12232708890604	32.4772349820224	3.873441695543e-162	4.88859616510223e-159	360.040973757516
IL33	1.4241770490396	1.32409412796989	1.52425997010931	6.5927213803155	32.0757539677312	2.88508001812091e-159	3.43891481989136e-156	353.437162272501
ETS2	0.895859152949017	0.826943907008119	0.964774398889914	8.07897216135117	31.8461400568234	1.26584325022304e-157	1.4294283464032e-154	349.661175796645
POLR2D	-0.809595901063298	-0.868819428167647	-0.75037237395895	7.23197495413237	-31.8094156825611	2.31741829906986e-157	2.48605365336605e-154	349.057320819857
HSPB6	1.61036657321654	1.45535191432752	1.76538123210555	7.04927078746571	31.6152395398833	5.66802258306023e-156	5.79093030486056e-153	345.86490494513
STK11	-0.795591122256729	-0.844758931113059	-0.7464233134004	7.60812558084705	-31.5178735027996	2.8152229690143e-155	2.74552989731842e-152	344.264407728643
JUNB	1.30152780435496	1.21253747533196	1.39051813337797	10.5068509237826	30.8976614206664	7.60494765903106e-151	7.09421676511095e-148	334.074969821716
NUP62	-0.66547559242138	-0.758184115018047	-0.572767069824713	8.66024877014746	-30.3225361158668	9.67594940601147e-147	8.65004582191555e-144	324.637516256825
PKMYT1	-1.48517264231842	-1.55386974376904	-1.41647554086779	5.62023185099451	-30.2294322562203	4.46293854371265e-146	3.8301603731353e-143	323.111003710831
CTGF	1.61504502829188	1.57742304472887	1.6526670118549	10.3253901496056	30.0615560366528	7.01972697759385e-145	5.79272530101671e-142	320.359544854972
TGFBR2	1.0124228566527	0.955817546149395	1.069028167156	8.7779055366941	29.5931606455494	1.52058461021892e-141	1.20832256948084e-138	312.690188955474
ADAMTS1	1.4203178137858	1.38696038031046	1.45367524726114	7.81260722222222	29.4453687703603	1.71166825937064e-140	1.31158858091198e-137	310.272837052207
SLIT2	1.00798947445109	0.888486804883008	1.12749214401918	7.60749363811728	29.3445114989377	8.92488354629653e-140	6.60298971936751e-137	308.623930581103
CCL14	1.62285367112462	1.56051883319909	1.68518850905016	7.23350824845679	29.3311564968328	1.11057456429791e-139	7.94259702421549e-137	308.405638533326
E2F1	-1.14531527349126	-1.18684496382555	-1.10378558315698	6.15517243098422	-29.2729075390298	2.88138842547963e-139	1.99423426653074e-136	307.453672386092
FGF2	1.01318056498611	0.95728560360346	1.06907552636876	6.15632729552469	29.2362081113974	5.25322389314717e-139	3.52218362367676e-136	306.854003785719
CDK9	-0.642353981481666	-0.716389885454364	-0.568318077508967	6.70635824674211	-29.2329900268027	5.53726296498541e-139	3.60012242653837e-136	306.801424471488
SLC2A3	1.17192143604232	1.12413221734867	1.21971065473597	7.3525314896262	29.0171290556229	1.89070826726692e-137	1.19311324542764e-134	303.276119617892
ANGPTL1	1.1558845267488	1.0673492467772	1.24441980672041	5.75698418381344	28.9026901310222	1.22731794567818e-136	7.52358966236472e-134	301.408484694142
