coordinates	Cluster
IRF7	cluster1
OASL	cluster1
ISG15	cluster1
OAS1	cluster1
CXCL9	cluster1
CXCL10	cluster1
STAT1	cluster1
TAP1	cluster1
LTB	cluster1
PIM2	cluster1
MMP11	cluster1
COL11A1	cluster1
FN1	cluster1
WNT2	cluster1
PLAU	cluster1
SPHK1	cluster1
APOC2	cluster1
FCGR1A	cluster1
MMP9	cluster1
SLC16A3	cluster1
SPP1	cluster1
GPR160	cluster1
XBP1	cluster1
FOXA1	cluster1
GATA3	cluster1
PDZK1	cluster1
CELSR2	cluster1
NRIP1	cluster1
RET	cluster1
TFF1	cluster1
GFRA1	cluster1
KDM4B	cluster1
MYB	cluster1
SERPINA3	cluster1
PGR	cluster1
SUSD3	cluster1
PCSK6	cluster1
PMAIP1	cluster1
ABCA3	cluster1
SREBF1	cluster1
DNAJC22	cluster1
NAT1	cluster1
SYCP2	cluster1
CACNG4	cluster1
KRT19	cluster1
TUBB3	cluster1
IL20	cluster1
CDK5R1	cluster1
PPP2R2C	cluster1
ABCD1	cluster1
HSPA14	cluster1
NPC1	cluster1
MST1	cluster1
NTHL1	cluster1
TRAF2	cluster1
PLCG1	cluster1
SRC	cluster1
LIG4	cluster1
CDKN2C	cluster1
NCAPD3	cluster1
PITRM1	cluster1
RIPK2	cluster1
SERTAD1	cluster1
OCLN	cluster1
PDPK1	cluster1
PMS2P3	cluster1
PRDX6	cluster1
MTDH	cluster1
PFKL	cluster1
POLR2D	cluster1
NRAS	cluster1
NUP62	cluster1
PDIA4	cluster1
NF2	cluster1
NOLC1	cluster1
DESI1	cluster1
PPID	cluster1
IL18	cluster1
NR1H3	cluster1
GNGT2	cluster1
TBP	cluster1
DUSP8	cluster1
RPS4X	cluster1
HMGB3	cluster1
IKBKG	cluster1
ADIPOR1	cluster1
DNAJC14	cluster1
MADD	cluster1
CDK9	cluster1
GLUL	cluster1
POLD1	cluster1
SLC27A4	cluster1
BMI1	cluster1
SAP30	cluster1
STK36	cluster1
OGG1	cluster1
PIAS4	cluster1
RAB25	cluster1
RASSF7	cluster1
NOL3	cluster1
DVL1	cluster1
PRKCZ	cluster1
PIK3R3	cluster1
SFN	cluster1
MYCN	cluster1
GPI	cluster1
PKM	cluster1
PIK3R2	cluster1
PPP2R4	cluster1
NSD1	cluster1
STK11	cluster1
HJURP	cluster2
ANLN	cluster2
MKI67	cluster2
CENPF	cluster2
CCNA2	cluster2
BUB1	cluster2
CCNB1	cluster2
NUF2	cluster2
UBE2T	cluster2
CDC20	cluster2
PLK4	cluster2
CDKN3	cluster2
DLGAP5	cluster2
GGH	cluster2
GPSM2	cluster2
PABPC1	cluster2
CCT5	cluster2
POLD2	cluster2
PRC1	cluster2
FANCA	cluster2
GTSE1	cluster2
KIF2C	cluster2
CDC6	cluster2
TK1	cluster2
HIST1H3H	cluster2
H2AFX	cluster2
EXO1	cluster2
TPX2	cluster2
ASPM	cluster2
TOP2A	cluster2
ORC6	cluster2
SPC25	cluster2
MAZ	cluster2
EZH2	cluster2
STMN1	cluster2
PCNA	cluster2
E2F1	cluster2
PKMYT1	cluster2
TYMS	cluster2
NUSAP1	cluster2
RRM2	cluster2
MYBL2	cluster2
PLK1	cluster2
GPR126	cluster2
MYBL1	cluster2
CCNE1	cluster2
BRCA1	cluster2
RBL1	cluster2
TMEM132A	cluster2
NME1	cluster2
RAD21	cluster2
GAPDH	cluster2
MIF	cluster2
GRIN2A	cluster3
CXCR1	cluster3
CYP1A1	cluster3
FGFBP1	cluster3
CD209	cluster3
CDC14B	cluster3
FGF14	cluster3
PRL	cluster3
CREB5	cluster3
FBXW7	cluster3
MAGEL2	cluster3
DKK2	cluster3
TNN	cluster3
CSF2	cluster3
IL4	cluster3
GADD45G	cluster3
HES1	cluster3
MT1A	cluster3
TRIB1	cluster3
FAM105A	cluster3
HERC3	cluster3
GZMB	cluster3
CXCL16	cluster3
TESC	cluster3
SELE	cluster3
IL6	cluster3
PTGS2	cluster3
CXCL2	cluster3
CXCL3	cluster3
ADIPOQ	cluster3
SLC19A3	cluster3
ADM	cluster3
CNTFR	cluster3
MAPK10	cluster3
COL4A3	cluster3
LYVE1	cluster3
CLCA2	cluster3
HMGCS2	cluster3
ANXA3	cluster3
MAOB	cluster3
AKR1C3	cluster3
SOX17	cluster3
CITED2	cluster3
LIFR	cluster3
RHOU	cluster3
LRP2	cluster3
STEAP4	cluster3
CCL2	cluster4
TNFRSF1B	cluster4
VCAM1	cluster4
CXCR4	cluster4
TNFAIP3	cluster4
RGS2	cluster4
SGK1	cluster4
EDN1	cluster4
GADD45A	cluster4
MAFF	cluster4
ADAMTS1	cluster4
ETS2	cluster4
TSC22D3	cluster4
RASD1	cluster4
PER1	cluster4
