sample	Cluster
B13224	cluster1
B38324	cluster1
B42816	cluster1
B61681	cluster1
B32123	cluster1
B87985	cluster1
B68649	cluster1
B75823	cluster1
B25486	cluster1
B59642	cluster1
B75447	cluster1
B95969	cluster1
B11888	cluster1
B24996	cluster1
B64399	cluster1
B66999	cluster1
B11111	cluster1
B49472	cluster1
B74353	cluster1
B68833	cluster1
B54676	cluster1
B44416	cluster1
B79343	cluster1
B56241	cluster1
B27267	cluster1
B38437	cluster1
B15136	cluster1
B72356	cluster1
B14795	cluster1
B77666	cluster1
B71122	cluster1
B73847	cluster1
B63856	cluster1
B27811	cluster1
B63936	cluster1
B24847	cluster1
B39818	cluster1
B65425	cluster1
B83172	cluster1
B97971	cluster1
B49464	cluster1
B97775	cluster1
B54449	cluster1
B82772	cluster1
B97767	cluster1
B55732	cluster1
B27171	cluster1
B76187	cluster1
B83673	cluster1
B48391	cluster1
B21773	cluster1
B21425	cluster1
B15438	cluster1
B25616	cluster1
B21449	cluster1
B31184	cluster1
B81934	cluster1
B26547	cluster1
B49131	cluster1
B25512	cluster1
B53646	cluster1
B66732	cluster1
B74551	cluster1
B94263	cluster1
B61218	cluster1
B92552	cluster1
B37948	cluster1
B41891	cluster1
B87796	cluster1
B48384	cluster1
B63929	cluster1
B43938	cluster1
B34673	cluster1
B19355	cluster1
B61256	cluster1
B16131	cluster1
B11517	cluster1
B51577	cluster1
B95525	cluster1
B72363	cluster1
B61851	cluster1
B43112	cluster1
B37794	cluster1
B25342	cluster1
B78149	cluster1
B21491	cluster1
B29426	cluster1
B97427	cluster1
B53844	cluster1
B78879	cluster1
B18357	cluster1
B28662	cluster1
B36219	cluster1
B43298	cluster1
B58285	cluster1
B79366	cluster1
B93219	cluster1
B21387	cluster1
B73243	cluster1
B58373	cluster1
B63322	cluster1
B86313	cluster1
B32954	cluster1
B47431	cluster1
B34696	cluster1
B33777	cluster1
B98933	cluster1
B93814	cluster1
B84298	cluster1
B35235	cluster1
B73351	cluster1
B97368	cluster1
B51379	cluster1
B61743	cluster1
B74745	cluster1
B44423	cluster1
B54874	cluster1
B42955	cluster1
B47334	cluster1
B93424	cluster1
B23156	cluster1
B54881	cluster1
B13758	cluster1
B15689	cluster1
B22423	cluster1
B52648	cluster1
B26859	cluster1
B22659	cluster1
B11921	cluster1
B18851	cluster1
B35854	cluster1
B23314	cluster1
B27166	cluster1
B73235	cluster1
B59793	cluster1
B82535	cluster1
B18329	cluster1
B36122	cluster1
B27251	cluster1
B57131	cluster1
B89149	cluster1
B97496	cluster1
B76216	cluster1
B18168	cluster1
B54484	cluster2
B98978	cluster2
B41443	cluster2
B48268	cluster2
B83871	cluster2
B29674	cluster2
B93358	cluster2
B77763	cluster2
B31739	cluster2
B14814	cluster2
B34951	cluster2
B54727	cluster2
B94638	cluster2
B18728	cluster2
B82342	cluster2
B22718	cluster2
B67446	cluster2
B43792	cluster2
B89966	cluster2
B63752	cluster2
B49769	cluster2
B68989	cluster2
B66482	cluster2
B71795	cluster2
B42542	cluster2
B66467	cluster2
B92618	cluster2
B54992	cluster2
B81684	cluster2
B74161	cluster2
B42851	cluster2
B32312	cluster2
B26592	cluster2
B32198	cluster2
B39693	cluster2
B85737	cluster2
B33142	cluster2
B76355	cluster2
B46151	cluster2
B57179	cluster2
B82571	cluster2
B62563	cluster2
B76298	cluster2
B49833	cluster2
B63119	cluster2
B29979	cluster2
B23295	cluster2
B96686	cluster2
B94823	cluster2
B33888	cluster2
B23399	cluster2
B72268	cluster2
B65529	cluster2
B48585	cluster2
B69682	cluster2
B82181	cluster2
B16472	cluster2
B71493	cluster2
B63799	cluster2
B97959	cluster2
B36713	cluster2
B83356	cluster2
B48762	cluster2
B19938	cluster2
B33555	cluster2
B25327	cluster2
B15519	cluster2
B66914	cluster2
B63582	cluster2
B73398	cluster2
B54231	cluster2
B88999	cluster2
B77222	cluster2
B35212	cluster2
B82644	cluster2
B75851	cluster2
B12574	cluster2
B88628	cluster2
B14868	cluster2
B95641	cluster2
B23118	cluster2
B96972	cluster2
B57663	cluster2
B95754	cluster2
B47254	cluster2
B32881	cluster2
B83141	cluster2
B48887	cluster2
B79758	cluster2
B54815	cluster2
B19584	cluster2
B67923	cluster2
B43922	cluster2
B12626	cluster2
B98621	cluster2
B28242	cluster2
B14772	cluster2
B76719	cluster2
B53839	cluster2
B25764	cluster2
B82991	cluster2
B67519	cluster2
B25247	cluster2
B19747	cluster2
B75697	cluster2
B32557	cluster2
B51584	cluster2
B36821	cluster2
B45831	cluster2
B89213	cluster2
B73632	cluster2
B89229	cluster2
B27386	cluster2
B51525	cluster2
B57861	cluster2
B42284	cluster2
B84761	cluster2
B52832	cluster2
B34497	cluster2
B46595	cluster2
B38362	cluster2
B64191	cluster2
B84159	cluster2
B38754	cluster2
B46588	cluster2
B98652	cluster2
B84974	cluster2
B54919	cluster2
B71616	cluster2
B72578	cluster2
B79711	cluster2
B39126	cluster2
B64597	cluster2
B41227	cluster2
B35819	cluster2
B68892	cluster2
B21456	cluster2
B82736	cluster2
B74338	cluster2
B87371	cluster2
B29851	cluster2
B72975	cluster3
B61955	cluster3
B78229	cluster3
B35656	cluster3
B41551	cluster3
B49212	cluster3
B43834	cluster3
B85551	cluster3
R85551	cluster3
B31163	cluster3
B39662	cluster3
