Gene	TCGA_Gene	GeneSort_1080pairedSamples	Cluster_1080pairedSamples	SubCluster_1080pairedSamples	GeneSort_540preSamples	Cluster_540preSamples	Subcluster_540preSamples	Gene-Label
IRF7	IRF7	1	1_GoodVsPoor	1_A_IFN	211	2	2	IFN, antigen presentation
OASL	OASL	2	1_GoodVsPoor	1_A_IFN	212	2	2	IFN, antigen presentation
ISG15	ISG15	3	1_GoodVsPoor	1_A_IFN	213	2	2	IFN, antigen presentation
OAS1	OAS1	4	1_GoodVsPoor	1_A_IFN	214	2	2	IFN, antigen presentation
CXCL9	CXCL9	5	1_GoodVsPoor	1_A_IFN	216	2	2	IFN, antigen presentation
CXCL10	CXCL10	6	1_GoodVsPoor	1_A_IFN	220	2	2	IFN, antigen presentation
STAT1	STAT1	7	1_GoodVsPoor	1_A_IFN	221	2	2	IFN, antigen presentation
TAP1	TAP1	8	1_GoodVsPoor	1_A_IFN	219	2	2	IFN, antigen presentation
LTB	LTB	9	1_GoodVsPoor	1_A_IFN	217	2	2	IFN, antigen presentation
PIM2	PIM2	10	1_GoodVsPoor	1_A_IFN	311	3	3	IFN, antigen presentation
MMP11	MMP11	11	1_GoodVsPoor	1_B_RepairStress	302	3	3	ECM remodeling, stroma
COL11A1	COL11A1	12	1_GoodVsPoor	1_B_RepairStress	91	1	2	ECM remodeling, stroma
FN1	FN1	13	1_GoodVsPoor	1_B_RepairStress	92	1	2	angiogenesis, hypoxia, stress
WNT2	WNT2	14	1_GoodVsPoor	1_B_RepairStress	301	3	3	hedgehog pathway
PLAU	PLAU	15	1_GoodVsPoor	1_B_RepairStress	303	3	3	angiogenesis, hypoxia, stress
SPHK1	SPHK1	16	1_GoodVsPoor	1_B_RepairStress	304	3	3	angiogenesis, hypoxia, stress
APOC2	APOC2	17	1_GoodVsPoor	1_B_RepairStress	224	2	2	ECM remodeling, stroma
FCGR1A	FCGR1A	18	1_GoodVsPoor	1_B_RepairStress	225	2	2	IFN, antigen presentation
MMP9	MMP9	19	1_GoodVsPoor	1_B_RepairStress	312	3	3	angiogenesis, hypoxia, stress
SLC16A3	SLC16A3	20	1_GoodVsPoor	1_B_RepairStress	222	2	2	angiogenesis, hypoxia, stress
SPP1	SPP1	21	1_GoodVsPoor	1_B_RepairStress	223	2	2	angiogenesis, hypoxia, stress
GPR160	GPR160	22	1_GoodVsPoor	1_C_EstrogenResp	238	3	1	estrogen recsponse
XBP1	XBP1	23	1_GoodVsPoor	1_C_EstrogenResp	239	3	1	estrogen recsponse
FOXA1	FOXA1	24	1_GoodVsPoor	1_C_EstrogenResp	240	3	1	estrogen recsponse
GATA3	GATA3	25	1_GoodVsPoor	1_C_EstrogenResp	241	3	1	estrogen recsponse
PDZK1	PDZK1	26	1_GoodVsPoor	1_C_EstrogenResp	251	3	1	estrogen recsponse
CELSR2	CELSR2	27	1_GoodVsPoor	1_C_EstrogenResp	252	3	1	estrogen recsponse
NRIP1	NRIP1	28	1_GoodVsPoor	1_C_EstrogenResp	253	3	1	estrogen recsponse
RET	RET	29	1_GoodVsPoor	1_C_EstrogenResp	237	3	1	estrogen recsponse
TFF1	TFF1	30	1_GoodVsPoor	1_C_EstrogenResp	112	1	2	estrogen recsponse
GFRA1	GFRA1	31	1_GoodVsPoor	1_C_EstrogenResp	258	3	1	estrogen recsponse
KDM4B	KDM4B	32	1_GoodVsPoor	1_C_EstrogenResp	259	3	1	estrogen recsponse
MYB	MYB	33	1_GoodVsPoor	1_C_EstrogenResp	257	3	1	estrogen recsponse
SERPINA3	SERPINA3	34	1_GoodVsPoor	1_C_EstrogenResp	248	3	1	estrogen recsponse
PGR	PGR	35	1_GoodVsPoor	1_C_EstrogenResp	249	3	1	estrogen recsponse
SUSD3	SUSD3	36	1_GoodVsPoor	1_C_EstrogenResp	250	3	1	estrogen recsponse
