Gene	pre.Tx	post.Tx
ABCA3	1.47	1.19
ABCD1	0.85	0.92
ACKR1	1.49	1.27
ADAMTS1	1.22	1.12
ADIPOQ	1.23	1.08
ADIPOR1	2.00	0.89
ADM	0.99	0.79
AKR1C3	0.95	1.14
AKT3	0.82	1.49
ALDH1A1	1.10	1.32
ALDH1A3	1.02	1.10
ANGPTL1	1.05	1.22
ANLN	0.51	0.67
ANXA1	0.64	1.10
ANXA3	0.88	0.93
APOC2	0.71	1.05
AQP1	1.35	1.32
ASPM	0.66	0.78
BAG2	1.19	1.14
BMI1	2.27	1.19
BOC	0.87	1.09
BRCA1	0.71	0.89
BTG2	1.52	1.23
BUB1	0.77	0.70
C3	1.22	1.20
CACNG4	1.16	1.03
CAV1	1.22	1.32
CAV2	1.22	1.05
CCL14	1.30	1.20
CCL2	0.96	1.15
CCNA2	0.66	0.68
CCNB1	0.68	0.69
CCNE1	0.80	0.83
CCT5	0.76	0.79
CD209	1.25	1.01
CD34	0.83	1.28
CDC14B	1.14	1.12
CDC20	0.98	0.76
CDC6	0.76	0.79
CDK5R1	1.96	1.01
CDK9	2.50	1.11
CDKN1A	0.76	1.39
CDKN1C	1.85	1.25
CDKN2C	1.64	0.79
CDKN3	1.19	0.78
CEBPD	0.78	1.18
CELSR2	1.15	1.12
CENPF	0.65	0.69
CITED2	0.61	1.04
CLCA2	1.01	0.96
CNTFR	0.96	1.05
COL11A1	1.06	0.98
COL1A2	0.95	1.15
COL4A3	0.96	1.09
COL6A6	1.06	1.11
CREB5	0.91	1.15
CSF2	0.93	1.10
CTGF	1.28	1.15
CXCL10	0.99	0.98
CXCL16	0.39	1.39
CXCL2	1.03	1.01
CXCL3	0.86	1.06
CXCL9	0.97	0.95
CXCR1	0.85	1.01
CXCR4	0.49	0.98
CYP1A1	0.93	1.01
CYP1B1	0.75	1.10
CYR61	1.10	1.23
DAB2	0.53	1.30
DES	0.99	1.11
DESI1	1.96	1.01
DKK2	1.23	1.11
DLC1	1.79	1.45
DLGAP5	1.33	0.78
DNAJC14	4.17	0.85
DNAJC22	1.12	0.95
DUSP1	1.85	1.20
DUSP8	2.78	1.19
DVL1	2.38	0.94
E2F1	1.18	0.75
EDN1	1.11	1.04
EGFR	1.00	1.02
EGR1	1.23	1.22
EGR3	1.28	1.27
EMP1	1.08	1.22
ETS2	1.11	1.23
EXO1	0.71	0.79
EZH2	0.93	0.61
F3	0.99	1.09
FABP4	0.99	1.08
FAM105A	0.69	1.09
FANCA	0.65	0.76
FAS	0.89	1.32
FAT4	0.96	1.28
FBXW7	0.89	1.00
FCGR1A	0.66	1.05
FGF14	1.03	1.02
FGF2	1.18	1.20
FGF7	1.28	1.23
FGFBP1	1.04	1.00
FIGF	0.90	1.15
FLJ10474	0.98	1.25
FLNC	1.45	1.22
FLRT2	1.01	1.30
FN1	1.00	0.93
FOS	0.96	1.18
FOXA1	1.30	1.12
FOXC1	0.80	1.03
FOXO1	1.12	1.25
GADD45A	1.20	1.27
GADD45B	0.96	1.16
GADD45G	0.83	1.12
GAPDH	0.85	0.60
GAS1	1.41	1.16
GATA3	1.52	1.16
GFRA1	1.20	1.09
GGH	1.35	0.71
GLUL	2.50	1.23
GNGT2	2.94	1.12
GPI	1.43	0.55
GPR126	0.94	0.76
GPR160	1.52	1.02
GPSM2	1.69	0.72
GRIN2A	0.88	1.04
GSN	0.44	1.41
GSTP1	0.66	0.98
GTSE1	0.68	0.81
GZMB	0.88	1.01
H2AFX	0.43	0.71
HBEGF	0.71	1.12
HERC3	0.39	1.41
HES1	0.45	0.90
HIF3A	0.95	1.11
HIST1H3H	0.50	0.74
HJURP	0.61	0.75
HMGB3	1.39	0.94
HMGCS2	0.90	1.04
HSPA14	0.64	0.86
HSPB6	1.15	1.23
ID4	0.99	1.14
IGF1	1.61	1.23
IGF2	1.22	1.22
IGFBP6	1.35	1.30
IKBKG	1.79	1.08
IL18	2.13	1.09
IL20	1.04	0.97
IL33	1.00	1.18
IL4	1.02	1.04
IL6	1.11	1.08
IRF7	1.01	1.00
ISG15	0.91	0.97
JMJD1C	0.33	1.15
JUN	1.27	1.15
JUNB	1.45	1.32
JUND	0.97	1.37
KDM4B	1.64	1.18
KIF2C	0.81	0.85
KIT	1.02	1.14
KLF4	0.92	1.19
KRT14	1.05	0.97
KRT17	1.04	0.95
KRT19	1.11	0.96
KRT5	0.97	0.93
LEPR	1.03	1.30
LIF	1.30	1.23
LIFR	1.12	1.22
LIG4	3.03	1.02
LPL	1.11	1.16
LRP2	1.01	1.14
LTB	1.23	1.10
LYVE1	1.23	1.08
MADD	2.08	1.20
MAFF	1.69	1.23
MAGEL2	1.00	1.12
MAML2	0.74	0.99
MAOB	0.98	1.04
MAP1B	0.77	1.12
MAPK10	0.84	0.94
MAZ	0.57	0.60
MEIS1	1.03	1.35
MIF	1.02	0.67
MKI67	0.47	0.71
MMP11	1.08	0.94
MMP2	1.20	1.20
MMP9	1.05	1.03
MST1	2.04	1.30
MT1A	1.08	1.10
MT1X	0.84	0.88
MTDH	2.33	0.95
MYB	1.41	1.03
MYBL1	0.93	0.89
MYBL2	0.89	0.75
MYCN	1.52	1.04
NAT1	1.32	1.22
NCAPD3	1.79	0.72
