Gene	pre.Tx	post.Tx
ABCA3	1.479289941	1.196172249
ABCD1	0.855431993	0.918273646
ACKR1	1.497005988	1.27064803
ADAMTS1	1.215066829	1.119820829
ADIPOQ	1.228501229	1.078748652
ADIPOR1	1.988071571	0.891265597
ADM	0.987166831	0.785545954
AKR1C3	0.952380952	1.137656428
AKT3	0.822368421	1.490312966
ALDH1A1	1.094091904	1.321003963
ALDH1A3	1.022494888	1.096491228
ANGPTL1	1.055966209	1.221001221
ANLN	0.509683996	0.670241287
ANXA1	0.639386189	1.096491228
ANXA3	0.885739593	0.92936803
APOC2	0.708717222	1.048218029
AQP1	1.349527665	1.31061599
ASPM	0.659195781	0.779423227
BAG2	1.184834123	1.141552511
BMI1	2.293577982	1.187648456
BOC	0.871839582	1.090512541
BRCA1	0.710227273	0.889679715
BTG2	1.526717557	1.234567901
BUB1	0.769822941	0.704721635
C3	1.219512195	1.201923077
CACNG4	1.158748552	1.027749229
CAV1	1.221001221	1.314060447
CAV2	1.221001221	1.051524711
CCL14	1.290322581	1.206272618
CCL2	0.962463908	1.152073733
CCNA2	0.660501982	0.686341798
CCNB1	0.678426052	0.688231246
CCNE1	0.802568218	0.825082508
CCT5	0.762776506	0.788643533
CD209	1.246882793	1.006036217
CD34	0.823045267	1.285347044
CDC14B	1.131221719	1.123595506
CDC20	0.9765625	0.765696784
CDC6	0.759301443	0.785545954
CDK5R1	1.949317739	1.007049345
CDK9	2.518891688	1.10864745
CDKN1A	0.759878419	1.398601399
CDKN1C	1.858736059	1.248439451
CDKN2C	1.633986928	0.792393027
CDKN3	1.193317422	0.782472613
CEBPD	0.772200772	1.179245283
CELSR2	1.153402537	1.117318436
CENPF	0.644329897	0.695894224
CITED2	0.610873549	1.043841336
CLCA2	1.015228426	0.958772771
CNTFR	0.962463908	1.054852321
COL11A1	1.060445387	0.982318271
COL1A2	0.953288847	1.145475372
COL4A3	0.963391137	1.089324619
COL6A6	1.064962726	1.109877913
CREB5	0.908265213	1.149425287
CSF2	0.935453695	1.100110011
CTGF	1.283697047	1.148105626
CXCL10	0.986193294	0.975609756
CXCL16	0.390167772	1.388888889
CXCL2	1.029866117	1.006036217
CXCL3	0.864304235	1.068376068
CXCL9	0.970873786	0.955109838
CXCR1	0.847457627	1.012145749
CXCR4	0.48947626	0.981354269
CYP1A1	0.923361034	1.007049345
CYP1B1	0.74682599	1.098901099
CYR61	1.098901099	1.239157373
DAB2	0.527148129	1.303780965
DES	0.992063492	1.10619469
DESI1	1.953125	1.014198783
DKK2	1.2300123	1.116071429
DLC1	1.776198934	1.457725948
DLGAP5	1.333333333	0.78125
DNAJC14	4.115226337	0.846023689
DNAJC22	1.127395716	0.953288847
DUSP1	1.838235294	1.206272618
DUSP8	2.762430939	1.19047619
DVL1	2.352941176	0.941619586
E2F1	1.170960187	0.744601638
EDN1	1.10619469	1.044932079
EGFR	1	1.017293998
EGR1	1.242236025	1.225490196
EGR3	1.280409731	1.27064803
EMP1	1.075268817	1.215066829
ETS2	1.109877913	1.2300123
EXO1	0.716332378	0.789265983
EZH2	0.925925926	0.611620795
F3	0.986193294	1.082251082
FABP4	0.991080278	1.075268817
FAM105A	0.692041522	1.092896175
FANCA	0.654022237	0.760456274
FAS	0.892857143	1.322751323
FAT4	0.966183575	1.278772379
FBXW7	0.894454383	0.998003992
FCGR1A	0.663129973	1.052631579
FGF14	1.030927835	1.018329939
FGF2	1.17370892	1.200480192
FGF7	1.285347044	1.2300123
FGFBP1	1.03950104	0.995024876
FIGF	0.903342367	1.149425287
FLJ10474	0.984251969	1.251564456
FLNC	1.457725948	1.218026797
FLRT2	1.014198783	1.302083333
FN1	1.001001001	0.938086304
FOS	0.958772771	1.182033097
FOXA1	1.302083333	1.124859393
FOXC1	0.798084597	1.027749229
FOXO1	1.118568233	1.245330012
GADD45A	1.199040767	1.264222503
GADD45B	0.962463908	1.156069364
GADD45G	0.832639467	1.121076233
GAPDH	0.853970965	0.600600601
GAS1	1.404494382	1.165501166
GATA3	1.506024096	1.162790698
GFRA1	1.212121212	1.090512541
GGH	1.342281879	0.708215297
GLUL	2.481389578	1.233045623
GNGT2	2.949852507	1.122334456
GPI	1.43472023	0.549752611
GPR126	0.943396226	0.759301443
GPR160	1.519756839	1.016260163
GPSM2	1.683501684	0.71787509
GRIN2A	0.874890639	1.046025105
GSN	0.441696113	1.402524544
GSTP1	0.662690524	0.978473581
GTSE1	0.673854447	0.814995925
GZMB	0.882612533	1.01010101
H2AFX	0.433275563	0.709219858
HBEGF	0.710732054	1.123595506
HERC3	0.390777648	1.410437236
HES1	0.452284034	0.903342367
HIF3A	0.948766603	1.113585746
HIST1H3H	0.503524673	0.73964497
HJURP	0.613120785	0.74682599
HMGB3	1.39275766	0.944287063
HMGCS2	0.900090009	1.03950104
HSPA14	0.636942675	0.859845228
HSPB6	1.148105626	1.236093943
ID4	0.989119683	1.129943503
IGF1	1.615508885	1.233045623
IGF2	1.218026797	1.218026797
IGFBP6	1.353179973	1.302083333
IKBKG	1.785714286	1.079913607
IL18	2.145922747	1.090512541
IL20	1.046025105	0.972762646
IL33	1	1.169590643
IL4	1.023541453	1.038421599
IL6	1.107419712	1.071811361
IRF7	1.014198783	1
ISG15	0.904977376	0.970873786
JMJD1C	0.333889816	1.145475372
JUN	1.272264631	1.14416476
JUNB	1.445086705	1.315789474
JUND	0.970873786	1.366120219
KDM4B	1.639344262	1.177856302
KIF2C	0.814995925	0.846740051
KIT	1.02145046	1.131221719
KLF4	0.918273646	1.19047619
KRT14	1.047120419	0.966183575
KRT17	1.037344398	0.952380952
KRT19	1.116071429	0.964320154
KRT5	0.971817298	0.923361034
LEPR	1.027749229	1.302083333
LIF	1.303780965	1.231527094
LIFR	1.128668172	1.225490196
LIG4	3.021148036	1.02145046
LPL	1.10619469	1.164144354
LRP2	1.014198783	1.141552511
LTB	1.228501229	1.094091904
LYVE1	1.2300123	1.076426265
MADD	2.105263158	1.209189843
MAFF	1.680672269	1.231527094
MAGEL2	0.999000999	1.126126126
MAML2	0.740740741	0.992063492
MAOB	0.981354269	1.038421599
MAP1B	0.771010023	1.127395716
MAPK10	0.842459983	0.946969697
MAZ	0.572737686	0.60204696
MEIS1	1.034126163	1.35501355
MIF	1.020408163	0.672494956
MKI67	0.475059382	0.715819613
MMP11	1.079913607	0.946073794
MMP2	1.19760479	1.200480192
MMP9	1.054852321	1.034126163
MST1	2.024291498	1.293661061
MT1A	1.071811361	1.094091904
MT1X	0.84317032	0.882612533
MTDH	2.309468822	0.952380952
MYB	1.398601399	1.035196687
MYBL1	0.928505107	0.89206066
MYBL2	0.89206066	0.750750751
MYCN	1.526717557	1.037344398
NAT1	1.312335958	1.226993865
NCAPD3	1.782531194	0.724112962
NF2	1.908396947	0.970873786
NME1	1.53609831	0.759301443
NOL3	1.908396947	1.061571125
NOLC1	2.02020202	0.716332378
NOV	1.329787234	1.117318436
NPC1	1.356852103	1.18623962
